feature,importance
login_timestamp_1/22/2022,5.474447745919933e-05
login_timestamp_11/12/2022,5.4066414327732795e-05
login_timestamp_4/5/2022,5.313789233028905e-05
login_timestamp_4/11/2022,5.154146681320042e-05
login_timestamp_3/15/2022,5.1370788239746055e-05
login_timestamp_10/16/2022,5.011606204866736e-05
login_timestamp_6/14/2022,4.969155979127028e-05
login_timestamp_11/20/2022,4.8026744377672204e-05
login_timestamp_12/1/2022,4.7065863183587986e-05
login_timestamp_5/14/2022,4.595531975524451e-05
login_timestamp_6/12/2022,4.579142853484604e-05
login_timestamp_7/20/2022,4.411845194281035e-05
login_timestamp_2/10/2022,4.386673850826428e-05
login_timestamp_3/11/2022,4.352185866391128e-05
login_timestamp_8/17/2022,4.3378504027119334e-05
login_timestamp_10/11/2022,4.3149700763967995e-05
login_timestamp_6/23/2022,4.172811477999913e-05
login_timestamp_8/25/2022,4.025673785692632e-05
login_timestamp_11/30/2022,3.92281862599267e-05
login_timestamp_8/20/2022,3.9191919811090065e-05
login_timestamp_10/5/2022,3.894931622108297e-05
login_timestamp_2/8/2022,3.876313437540369e-05
login_timestamp_8/12/2022,3.8440681933401706e-05
login_timestamp_7/10/2022,3.808264571787548e-05
login_timestamp_1/7/2022,3.793255733328347e-05
login_timestamp_8/23/2022,3.658727317965661e-05
login_timestamp_8/18/2022,3.652380455149423e-05
login_timestamp_2/14/2022,3.5834994418767514e-05
login_timestamp_11/2/2022,3.544708208511181e-05
login_timestamp_12/3/2022,3.5116440710858134e-05
login_timestamp_3/6/2022,3.4826318390085416e-05
login_timestamp_9/18/2022,3.47407306967234e-05
login_timestamp_9/16/2022,3.355250880581342e-05
login_timestamp_6/28/2022,3.3457423833701576e-05
login_timestamp_4/7/2022,3.302887386843173e-05
login_timestamp_5/5/2022,3.2493758177328064e-05
login_timestamp_8/6/2022,3.236458146249147e-05
login_timestamp_4/18/2022,3.18175663746937e-05
login_timestamp_5/6/2022,3.180588012628379e-05
login_timestamp_9/20/2022,3.141690664273796e-05
login_timestamp_7/17/2022,3.0434875440763898e-05
login_timestamp_8/19/2022,3.0306657190048326e-05
login_timestamp_12/10/2022,2.9986897227570286e-05
login_timestamp_1/31/2022,2.8791346714232854e-05
login_timestamp_11/21/2022,2.8400068116607504e-05
login_timestamp_12/13/2022,2.763341416621386e-05
login_timestamp_1/17/2022,2.71246195767335e-05
login_timestamp_6/3/2022,2.6613667822141212e-05
login_timestamp_1/2/2022,2.624532285773406e-05
login_timestamp_12/11/2022,2.514278828686827e-05
login_timestamp_9/30/2022,2.3440219393588033e-05
login_timestamp_4/19/2022,2.3380786458639254e-05
login_timestamp_4/12/2022,2.314435351772576e-05
login_timestamp_12/23/2022,2.261697352262823e-05
login_timestamp_7/22/2022,2.2317182964794757e-05
login_timestamp_2/1/2022,2.179157409197177e-05
login_timestamp_2/18/2022,2.1484454432807468e-05
login_timestamp_12/4/2022,2.0738275820417403e-05
login_timestamp_7/23/2022,2.0550880711960898e-05
login_timestamp_7/31/2022,2.012138495718382e-05
login_timestamp_6/13/2022,1.9603720737371042e-05
login_timestamp_8/5/2022,1.9532646519925214e-05
login_timestamp_3/17/2022,1.945432628627874e-05
login_timestamp_9/13/2022,1.943139577663012e-05
login_timestamp_7/26/2022,1.935689897446176e-05
login_timestamp_10/29/2022,1.7917047790183813e-05
login_timestamp_5/1/2022,1.7746954383626493e-05
login_timestamp_7/19/2022,1.7084248111978412e-05
login_timestamp_8/14/2022,1.644197145710509e-05
login_timestamp_4/17/2022,1.639453803596491e-05
login_timestamp_12/19/2022,1.5405854987746972e-05
